project_name,file_name,nr_classes,nr_functions,ncls,slc,mlc,nr_of_lines,file_length,regexpsl,line_length,method_length,has_todo,boolean_e_c,cdac,cfoc,ccn,nppathc,javancss,nbugs,nbugs_confirmation
Apache CXF,ClientImpl.java,4,62,592,28,21,1062,0,31,72,0,0,0,1,1,9,8,9,3.1555555,3.1555555
Apache CXF,ClientTest.java,1,1,42,6,18,83,0,0,5,0,0,0,1,1,0,0,1,0.22222222,0.22222222
Apache CXF,HelloWorld.java,1,1,7,0,18,34,0,0,1,0,0,0,0,0,0,0,0,5.146955,5.146955
Apache CXF,JAXRSUtils.java,2,58,650,13,18,1275,0,256,173,0,0,1,1,1,16,9,9,3.7625,3.7625
Apache CXF,JMSConduit.java,3,30,217,23,18,431,0,63,34,0,1,0,1,2,2,2,5,2.1458333,2.1458333
Apache CXF,JMSFactory.java,2,6,109,4,18,222,0,14,38,0,0,0,1,1,2,2,3,0.59583336,0.59583336
Apache CXF,MDBInvoker.java,1,6,35,1,18,101,0,9,1,0,0,0,0,1,0,0,0,0.7,0.7
Apache CXF,ObjectType.java,1,18,140,1,18,277,0,0,17,0,0,0,1,1,2,2,3,1.0,1.0
Apache CXF,RMEndpoint.java,2,50,408,28,18,751,0,19,85,0,3,0,1,1,3,3,4,0.15359478,0.15359478
Apache CXF,SchemaInfo.java,1,17,90,9,18,179,0,11,6,0,0,0,0,1,1,1,3,0.16666667,0.16666667
Apache CXF,SchemaUtil.java,1,9,138,5,18,231,0,15,17,0,0,0,0,1,2,2,4,0.16666667,0.16666667
Apache CXF,SimpleBean.java,1,4,12,0,18,46,0,1,0,0,0,0,0,0,0,0,0,0.03125,0.03125
Apache CXF,TestResult.java,1,8,31,0,18,73,0,5,3,0,0,0,0,0,0,0,0,0.1010101,0.1010101
Apache CXF,ToolRunner.java,1,7,39,1,18,110,0,4,9,0,0,0,0,1,0,0,0,0.100961536,0.100961536
Apache CXF,WSDLToJava.java,1,16,115,0,18,214,0,1,4,0,0,0,0,1,1,1,3,0.100961536,0.100961536
Apache CXF,WsdlOption.java,1,14,44,0,18,92,0,4,0,0,0,0,0,0,0,0,0,0.41666666,0.41666666
Apache CXF,ClassHelper.java,1,7,22,0,18,67,0,11,0,0,0,0,0,0,0,0,0,0.11111111,0.11111111
Apache CXF,ClientProxy.java,1,9,63,1,18,123,0,1,6,0,0,0,0,1,1,1,2,1.1309524,1.1309524
Apache CXF,DummyServer.java,1,8,22,2,18,62,0,5,0,0,0,0,0,0,0,0,0,0.055555556,0.055555556
Apache CXF,GreeterImpl.java,1,23,95,2,33,206,0,41,10,0,0,0,1,1,0,0,2,4.591228,4.591228
Apache CXF,GreeterTest.java,1,1,35,0,18,75,0,8,1,0,0,0,0,1,0,0,1,0.45833334,0.45833334
Apache CXF,HTTPConduit.java,5,86,724,101,99,1767,0,225,109,0,1,0,2,2,13,9,8,4.6949563,4.6949563
Apache CXF,Intersector.java,1,10,84,1,18,167,0,27,6,0,0,0,0,1,2,2,2,0.014705882,0.014705882
Apache CXF,JMSMTOMImpl.java,1,1,7,0,27,45,0,4,1,0,0,0,0,0,0,0,0,0.25,0.25
