@relation 'final_with_weka_header-weka.filters.unsupervised.attribute.Remove-R1-2,21-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9,11-12,17'

@attribute ncls numeric
@attribute slc numeric
@attribute regexpsl numeric
@attribute method_length numeric
@attribute cdac numeric
@attribute cfoc numeric
@attribute ccn numeric
@attribute nppathc numeric
@attribute nbug1 numeric

@data
48,0,5,0,0,1,0,0,0.20202
74,11,30,0,0,0,0,0,1.527778
416,3,34,0,0,1,0,0,0.25
5,0,0,0,0,0,0,0,0.416667
30,0,5,0,0,1,0,0,0.055556
157,0,23,0,1,1,1,0,0.261233
151,3,33,0,1,1,1,1,0.083333
46,6,41,0,0,0,0,0,0.333333
121,5,12,0,0,1,1,1,2
32,0,7,0,0,0,0,0,0.309524
381,27,0,0,1,1,5,5,2.055059
15,0,2,0,0,0,0,0,0.25
148,16,0,0,0,1,4,1,1.333333
25,0,0,0,0,0,0,0,0.5
8,0,6,0,0,0,0,0,0.139706
116,0,13,0,1,1,3,3,0.014706
180,20,59,0,1,1,0,0,1
7,0,0,0,0,0,0,0,0.0625
55,5,6,0,0,1,1,1,2
84,10,11,0,0,1,3,2,0.083333
43,1,10,0,0,0,0,0,0.5
33,0,6,0,0,0,0,0,0.333333
8,0,0,0,0,0,0,0,0.071429
262,30,40,0,1,1,1,1,0.2
60,3,19,0,1,1,0,0,0.5
159,7,34,0,1,1,0,0,0.555556
5,0,0,0,0,0,0,0,1
80,6,11,0,0,1,1,1,0.35
123,7,20,0,0,1,2,1,0.111111
228,1,13,0,0,1,1,1,0.929167
33,9,4,0,0,0,0,0,0.166667
708,4,207,0,1,1,0,0,1
160,7,15,0,1,1,2,2,0.130952
36,0,1,0,0,1,0,0,0.0625
64,0,6,0,0,2,1,0,1
31,0,1,0,0,0,0,0,0.2
8,0,2,0,0,0,0,0,0.032258
52,3,9,0,0,1,1,1,0.014706
341,6,47,0,1,1,4,2,1.098039
490,3,119,0,1,1,0,0,0.098039
106,3,33,0,1,2,0,0,0.098039
131,11,13,0,1,1,2,2,0.035714
223,3,98,0,0,1,2,1,0.5
192,7,0,0,1,1,1,1,1.2
460,16,24,0,1,1,7,5,0.0625
7,0,0,0,0,0,0,0,0.034483
71,1,17,0,0,1,0,0,0.166667
43,0,13,0,0,1,0,0,1.418056
146,3,17,0,1,1,3,3,1.533333
100,1,3,0,0,1,2,2,0.333333
74,9,11,0,0,1,1,1,0.035714
77,2,21,0,0,0,2,2,0.1
148,0,42,0,0,1,2,1,0.473611
69,3,4,0,0,1,1,1,0.19705
186,10,29,0,1,2,2,1,0.034483
60,0,6,0,0,1,0,0,0.511111
107,9,0,0,1,1,1,1,0.181818
62,4,19,0,1,1,0,0,2
58,0,9,0,0,2,0,0,0.034483
58,0,0,0,1,1,1,0,0.5
56,2,18,0,0,1,0,0,0.034483
3,0,0,0,0,0,0,0,0.321429
72,5,27,0,0,1,1,1,0.1
39,0,2,0,0,1,0,0,0.037037
316,14,34,0,1,1,2,1,0.333333
28,0,9,0,0,1,0,0,0.083333
546,10,165,0,1,1,0,0,0.592857
45,1,9,0,0,1,0,0,1
345,9,56,0,1,1,5,2,2.333333
374,36,79,0,1,1,3,2,0.583333
52,0,17,0,0,0,0,0,0.2
128,3,37,0,1,1,2,2,1.7
275,3,66,0,1,2,5,2,0.333333
72,14,14,0,0,1,1,1,0.166667
26,0,7,0,0,0,0,0,0.348039
274,22,95,0,1,1,3,3,0.535714
53,2,6,0,0,1,1,1,1
260,19,66,0,1,1,5,3,0.2
154,1,18,0,1,1,2,1,0.657624
17,0,0,0,0,0,0,0,0.071429
20,1,0,0,0,0,0,0,0.5
220,7,49,0,0,1,3,4,1.512626
85,2,5,0,0,1,2,2,0.142857
47,1,5,0,0,1,0,0,1
187,11,33,0,1,1,2,2,0.037037
32,5,16,0,0,1,1,1,1
64,8,11,0,1,1,0,0,0.0625
61,0,14,0,0,0,0,0,0.5
46,0,8,0,1,1,0,0,0.303114
81,3,22,0,0,1,0,0,0.43268
18,1,11,0,0,0,0,0,0.4
12,2,6,0,0,0,0,0,0.058824
113,1,7,0,1,1,0,0,0.027778
33,1,3,0,0,1,1,1,0.100562
285,9,13,0,1,1,4,2,3.054805
67,6,3,0,0,1,2,2,0.038462
209,4,64,0,1,1,0,0,0.5
120,12,20,0,0,1,2,2,0.2
111,26,51,0,0,1,3,1,0.866667
20,0,3,0,0,1,0,0,0.035714
39,0,13,0,0,1,0,0,1
42,0,1,0,0,1,0,0,0.02381
14,0,2,0,0,0,0,0,0.5
144,1,21,0,0,1,2,1,0.333333
35,0,9,0,0,0,1,1,0.7
205,15,49,0,1,1,3,3,1.098039
78,2,12,0,0,1,0,0,0.055556
52,0,3,0,0,1,1,1,0.055556
16,0,0,0,0,0,0,0,0.333333
408,30,110,0,1,1,8,5,0.545455
643,51,53,0,1,1,10,8,2.206221
157,3,39,0,0,1,1,1,0.785714
100,1,52,0,0,1,0,0,0.333333
31,3,6,0,0,1,0,0,0.376242
39,5,10,0,0,1,0,0,1
317,42,40,0,1,1,0,0,0.823611
279,6,26,0,1,1,6,6,0.7625
166,6,10,0,1,1,3,2,0.04
155,0,34,0,1,1,2,2,1
137,15,29,0,1,1,2,1,0.010989
42,1,9,0,0,1,0,0,0.037037
477,10,26,0,1,1,11,8,1
28,7,0,0,0,0,0,0,0.333333
74,0,11,0,0,1,0,0,0.014706
38,0,15,0,0,1,0,0,0.014706
181,9,37,0,1,1,2,1,0.533333
43,4,10,0,0,0,0,0,0.055556
384,7,49,0,0,1,3,4,1.333333
23,1,12,0,0,0,0,0,0.509603
541,23,46,0,1,1,10,10,0.166667
33,0,4,0,0,1,0,0,0.333333
27,0,6,0,0,0,0,0,0.037037
22,0,5,0,0,1,0,0,0.251323
32,0,13,0,0,0,0,0,1
619,7,128,0,0,1,0,0,1.017857
225,17,77,0,0,1,0,0,1.055556
82,10,11,0,0,1,1,1,0.037037
565,33,14,0,1,1,8,7,1
85,5,4,0,0,1,1,1,0.291453
571,19,114,0,1,1,8,7,0.045455
96,1,5,0,0,0,0,0,1
76,2,17,0,0,1,0,0,0.055556
453,13,58,0,1,1,11,9,2
137,7,6,0,0,1,2,2,0.166667
130,1,58,0,0,1,1,1,0.170855
245,8,13,0,1,1,3,2,0.107143
8,0,0,0,0,0,0,0,0.458824
5,0,3,0,0,0,0,0,0.014706
34,2,7,0,0,1,0,0,0.333333
84,0,12,0,0,2,1,0,0.5
81,2,4,0,0,1,0,0,0.118407
181,3,38,0,1,1,0,0,0.027778
79,0,4,0,1,1,0,0,0.5
36,0,6,0,0,1,0,0,0.25
35,2,0,0,0,1,0,0,0.4
116,4,13,0,1,1,2,2,0.537037
55,0,10,0,0,1,0,0,0.037037
290,17,73,0,1,1,3,3,0.111111
149,2,52,0,0,1,2,2,0.014706
142,3,50,0,1,1,0,0,0.333333
40,9,3,0,0,0,1,0,2
45,2,10,0,0,0,1,0,0.142857
4,0,26,0,0,0,0,0,0.25
85,3,5,0,0,1,1,1,7.630451
329,11,6,0,0,1,6,5,1
41,0,4,0,0,1,1,1,0.035714
13,2,1,0,0,0,0,0,0.166667
168,0,13,0,1,1,0,0,0.2
265,5,81,0,1,1,6,5,0.037037
198,3,42,0,0,1,2,2,1.448148
300,16,87,0,1,1,4,4,1.072751
86,0,2,0,1,1,1,1,0.142857
524,6,129,0,1,1,8,6,0.5125
208,6,15,0,1,1,2,3,0.090909
36,2,4,0,0,1,0,0,0.034483
19,0,1,0,0,1,0,0,0.2
99,2,6,0,0,1,1,0,1
4,0,1,0,0,0,0,0,0.083333
124,7,28,0,0,1,2,0,1
14,0,4,0,0,0,0,0,0.333333
13,0,6,0,0,0,0,0,0.045455
18,0,0,0,0,0,0,0,0.321429
34,0,31,0,0,0,0,0,0.858333
74,0,16,0,0,1,1,1,0.028571
15,0,1,0,0,0,0,0,0.2
18,0,24,0,0,0,0,0,0.166667
9,0,3,0,0,0,0,0,0.111111
11,0,5,0,0,0,0,0,0.073212
20,0,6,0,0,0,0,0,0.032258
169,18,29,0,0,1,2,2,1
74,4,18,0,0,1,0,0,0.0625
29,0,4,0,0,0,0,0,0.166667
556,18,40,0,1,1,10,6,0.600962
57,0,7,0,1,1,0,1,0.0625
88,0,3,0,0,1,0,0,1
13,0,0,0,0,0,0,0,0.333333
62,0,4,0,0,1,1,1,2.052632
83,3,21,0,1,1,1,1,0.028571
596,3,141,0,2,4,10,8,2.25
135,0,37,0,0,1,2,3,1
62,1,11,0,0,1,0,0,0.037037
9,2,3,0,0,0,0,0,0.25
139,1,41,0,1,1,1,0,0.014706
51,0,6,0,0,1,0,0,0.166667
135,16,29,0,0,1,2,2,1.5
5,0,4,0,0,0,0,0,0.1
211,12,15,0,1,1,5,3,1.333333
83,5,13,0,0,1,0,0,0.035714
3,0,2,0,0,0,0,0,1
169,10,35,0,0,1,0,0,0.034483
7,0,5,0,0,0,0,0,0.444444
334,10,67,0,1,1,4,4,2.034483
78,0,20,0,0,1,0,0,1
3,0,3,0,0,0,0,0,0.2
54,0,4,0,0,1,1,1,0.035714
