Project	File Name	data	bugs
Apache Pig	LogUtils.java	(1,6,129,2,17)	1.2941849
Apache Pig	POFRJoin.java	(2,22,282,62,23)	4.924101
Apache Pig	POFilter.java	(1,12,72,8,26)	0.81770927
Apache Pig	POIsNull.java	(1,7,52,1,17)	0.27392432
Apache Pig	PONative.java	(1,12,43,2,17)	0.31403583
Apache Pig	PORegexp.java	(1,8,51,3,17)	0.11142874
Apache Pig	POStream.java	(1,14,132,93,32)	0.5943389
Apache Pig	PigMacro.java	(1,19,264,15,30)	2.6225579
Apache Pig	PigSlice.java	(1,14,119,5,17)	2.180303
Apache Pig	PigSplit.java	(1,13,100,12,17)	6.7513833
Apache Pig	PigStats.java	(4,43,118,0,17)	5.791832
Apache Pig	PlanEdge.java	(1,5,47,2,17)	0.06781609
Apache Pig	RulePlan.java	(1,2,22,0,71)	0.0625
Apache Pig	STRSPLIT.java	(1,1,24,1,17)	3.2009804
Apache Pig	SizeUtil.java	(1,3,49,13,20)	0.08143147
Apache Pig	StarSpec.java	(1,5,18,0,17)	0.017483585
Apache Pig	TOKENIZE.java	(1,3,67,3,17)	4.85
Apache Pig	TestBZip.java	(1,3,81,2,17)	4.9182997
Apache Pig	TestJoin.java	(1,24,396,29,17)	10.127824
Apache Pig	TestNull.java	(1,4,199,12,21)	0.11849517
Apache Pig	ToString.java	(1,3,33,0,17)	0.064764805
Apache Pig	TrueCond.java	(1,4,14,1,17)	0.017483585
Apache Pig	URLPARSE.java	(1,2,26,0,17)	0.25
Apache Pig	VALUESET.java	(1,3,64,1,17)	0.14285715
Apache Pig	Algebraic.java	(1,3,5,0,17)	0.017483585
Apache Pig	BagFormat.java	(1,1,17,0,17)	0.25
Apache Pig	ConstSpec.java	(1,10,42,0,17)	0.017483585
Apache Pig	DBStorage.java	(4,18,161,12,17)	0.064764805
Apache Pig	DoubleAbs.java	(1,2,18,0,17)	0.023809524
Apache Pig	DoubleAvg.java	(4,14,162,15,18)	0.21988796
Apache Pig	DoubleMax.java	(3,3,10,0,17)	0.029411765
Apache Pig	DoubleMin.java	(4,9,71,4,17)	0.029411765
Apache Pig	DoubleSum.java	(4,12,104,6,18)	0.029411765
Apache Pig	ExecTools.java	(1,1,31,0,17)	0.046753246
Apache Pig	FalseCond.java	(1,4,14,1,17)	0.017483585
Apache Pig	GetMinute.java	(1,3,22,0,17)	0.064764805
Apache Pig	GetSecond.java	(1,3,22,0,17)	0.064764805
Apache Pig	HDataType.java	(1,2,156,1,17)	0.93099236
Apache Pig	LOBinCond.java	(1,10,45,6,17)	0.12701613
Apache Pig	LOCogroup.java	(1,22,398,39,57)	4.3994746
Apache Pig	LOForEach.java	(1,21,481,59,20)	9.6170025
Apache Pig	LOPrinter.java	(1,9,129,7,17)	0.2147759
Apache Pig	LOProject.java	(1,23,251,28,18)	1.417669
Apache Pig	LOVisitor.java	(1,43,119,41,34)	0.48567325
Apache Pig	LocalPath.java	(1,24,75,0,17)	0.07097457
Apache Pig	MRPrinter.java	(1,3,55,0,17)	0.06984127
Apache Pig	POBinCond.java	(1,28,116,0,17)	1.1922206
Apache Pig	POCogroup.java	(3,6,99,14,22)	1.8423496
Apache Pig	POCounter.java	(1,11,39,11,17)	0.06403583
Apache Pig	POForEach.java	(2,38,416,67,20)	5.8104854
Apache Pig	POPackage.java	(1,24,154,52,26)	2.4655228
Apache Pig	POPrinter.java	(1,1,8,1,104)	0.08571429
Apache Pig	POProject.java	(1,33,218,15,20)	9.706502
Apache Pig	POVisitor.java	(1,11,38,0,17)	0.071428575
Apache Pig	PigLogger.java	(1,1,5,0,17)	0.82955843
Apache Pig	PigServer.java	(1,3,28,0,12)	39.037994
Apache Pig	PigSlicer.java	(1,4,62,7,17)	3.0833333
Apache Pig	SUBSTRING.java	(1,3,35,0,20)	0.40812325
Apache Pig	SplitSpec.java	(1,3,32,0,17)	0.017483585
Apache Pig	StoreFunc.java	(1,3,8,0,17)	0.6351377
Apache Pig	StringMax.java	(4,12,98,6,18)	0.029411765
Apache Pig	StringMin.java	(4,12,98,6,18)	0.029411765
Apache Pig	TestGrunt.java	(1,6,67,0,31)	12.152367
Apache Pig	TestLocal.java	(4,44,317,33,20)	0.3110652
Apache Pig	TestStore.java	(3,34,461,35,18)	6.185264
Apache Pig	TestTuple.java	(1,9,75,1,17)	0.8333333
Apache Pig	TestUnion.java	(1,4,92,0,19)	2.7334259
Apache Pig	ToDateISO.java	(1,1,15,0,17)	0.02679141
Apache Pig	TupleSize.java	(1,2,20,0,17)	1.0571429
Apache Pig	UDFFinder.java	(2,7,38,0,17)	0.79924244
Apache Pig	VALUELIST.java	(1,2,56,1,17)	0.14285715
Apache Pig	WordCount.java	(3,4,75,0,21)	0.14285715
Apache Pig	XMLLoader.java	(4,28,242,19,81)	1.5
Apache Pig	AtomSchema.java	(1,6,19,0,17)	0.017483585
Apache Pig	BagFactory.java	(1,8,44,1,17)	2.0204082
Apache Pig	BasicTable.java	(8,108,937,92,69)	3.7071428
Apache Pig	BigDataBag.java	(4,25,248,14,21)	3.6037414
Apache Pig	BinStorage.java	(2,37,216,13,17)	14.319751
Apache Pig	CastFinder.java	(1,5,20,0,24)	0.041666668
Apache Pig	ColumnType.java	(1,20,62,0,92)	0.5367914
Apache Pig	DataBuffer.java	(1,5,25,0,17)	0.017483585
Apache Pig	DoubleBase.java	(1,3,22,1,23)	0.023809524
Apache Pig	FilterFunc.java	(1,1,5,0,17)	0.017483585
Apache Pig	FilterSpec.java	(2,10,41,0,17)	0.32430178
Apache Pig	FloatRound.java	(1,2,16,0,45)	0.023809524
Apache Pig	HDirectory.java	(1,13,69,0,35)	0.6126412
Apache Pig	INVERSEMAP.java	(1,3,47,2,17)	0.14285715
Apache Pig	InputStats.java	(1,13,68,1,17)	0.3611111
Apache Pig	JarManager.java	(2,11,161,10,23)	8.442484
Apache Pig	JsonLoader.java	(1,13,185,36,17)	0.5
Apache Pig	LODistinct.java	(1,5,26,1,17)	0.8009557
Apache Pig	LOGenerate.java	(1,18,168,17,17)	6.870441
Apache Pig	LOMultiply.java	(1,5,26,0,17)	0.18465386
Apache Pig	LONegative.java	(1,5,21,0,17)	0.18465386
Apache Pig	LONotEqual.java	(1,5,26,0,17)	0.18465386
Apache Pig	LOSubtract.java		0.18465386
Apache Pig	LOUserFunc.java		1.7586938
Apache Pig	LoadCaster.java	(1,8,17,1,16)	0.19948703
Apache Pig	MRCompiler.java	(5,48,970,118,37)	43.772186
Apache Pig	MROperPlan.java	(1,2,18,2,20)	0.31428573
